"Name","Version","License","URL"
"Flask","1.1.2","BSD License","https://palletsprojects.com/p/flask/"
"Jinja2","3.0.3","BSD License","https://palletsprojects.com/p/jinja/"
"MarkupSafe","2.1.0","BSD License","https://palletsprojects.com/p/markupsafe/"
"Werkzeug","2.0.3","BSD License","https://palletsprojects.com/p/werkzeug/"
"certifi","2021.10.8","Mozilla Public License 2.0 (MPL 2.0)","https://certifiio.readthedocs.io/en/latest/"
"click","8.0.4","BSD License","https://palletsprojects.com/p/click/"
"distlib","0.3.4","Python Software Foundation License","https://bitbucket.org/pypa/distlib"
"filelock","3.4.2","Public Domain","https://github.com/tox-dev/py-filelock"
"hashin","0.17.0","MIT License","https://github.com/peterbe/hashin"
"itsdangerous","2.1.0","BSD License","https://palletsprojects.com/p/itsdangerous/"
"numpy","1.22.2","BSD License","https://www.numpy.org"
"packaging","21.3","Apache Software License; BSD License","https://github.com/pypa/packaging"
"pep517","0.12.0","MIT License","https://github.com/pypa/pep517"
"pip-api","0.0.26","Apache Software License","http://github.com/di/pip-api"
"pip-tools","6.4.0","BSD License","https://github.com/jazzband/pip-tools/"
"pipenv","2020.11.15","MIT License","https://github.com/pypa/pipenv"
"platformdirs","2.4.1","MIT License","https://github.com/platformdirs/platformdirs"
"pyparsing","3.0.6","MIT License","https://github.com/pyparsing/pyparsing/"
"six","1.16.0","MIT License","https://github.com/benjaminp/six"
"tomli","2.0.0","MIT License","UNKNOWN"
"virtualenv","20.13.0","MIT License","https://virtualenv.pypa.io/"
"virtualenv-clone","0.5.7","MIT License","https://github.com/edwardgeorge/virtualenv-clone"